" Air Jordan 6 Spiz'ike | $295.00 | http://www.stadiumgoods.com/air-jordan-6-spiz-ike-varsity-red-clssc-grn-blck-wht-694091-625 | [0] | http://www.stadiumgoods.com/skin/frontend/stadium/default/images/stadiumloader.gif ",
" Air Jordan 7 | $250.00 | http://www.stadiumgoods.com/air-jordan-7-multi-multi-304775-102 | [0] | http://www.stadiumgoods.com/skin/frontend/stadium/default/images/stadiumloader.gif ",
" Air Jordan 7 Retro | $300.00 | http://www.stadiumgoods.com/air-jordan-7-retro-black-lt-graphite-bordeaux-304775-003 | [0] | http://www.stadiumgoods.com/skin/frontend/stadium/default/images/stadiumloader.gif ",
" Air Jordan 7 Retro (GS) | $300.00 | http://www.stadiumgoods.com/air-jordan-7-retro-gs-white-varsity-purple-flnt-grey-304774-151 | [0] | http://www.stadiumgoods.com/skin/frontend/stadium/default/images/stadiumloader.gif ",
" Air Jordan 7 Retro BG | $160.00 | http://www.stadiumgoods.com/air-jordan-7-retro-bg-wht-frnch-bl-unvrsity-bl-flnt-304774-107 | [0] | http://www.stadiumgoods.com/skin/frontend/stadium/default/images/stadiumloader.gif ",
" Jordan 8 Retro BP | $80.00 | http://www.stadiumgoods.com/jordan-8-retro-bp-blk-aqua-305369-025 | [0] | http://www.stadiumgoods.com/skin/frontend/stadium/default/images/stadiumloader.gif ",
" Air Jordan 8 Retro BG | $125.00 | http://www.stadiumgoods.com/air-jordan-8-retro-bg-blck-tr-rd-flnt-gry-brght-cn-305368-025 | [0] | http://www.stadiumgoods.com/skin/frontend/stadium/default/images/stadiumloader.gif ",
" Air Jordan 9 Retro | $190.00 | http://www.stadiumgoods.com/air-jordan-9-retro-medium-grey-white-cool-grey-302370-011 | [0] | http://www.stadiumgoods.com/skin/frontend/stadium/default/images/stadiumloader.gif ",
" Air Jordan 9 Retro | $450.00 | http://www.stadiumgoods.com/air-jordan-9-retro-black-varsity-red-light-olive-302370-020 | [0] | http://www.stadiumgoods.com/skin/frontend/stadium/default/images/stadiumloader.gif ",
" Air Jordan Retro 10 | $200.00 | http://www.stadiumgoods.com/air-jordan-retro-10-ocn-fg-mdnght-nvy-ocn-fg-bl-lg-310805-404 | [0] | http://www.stadiumgoods.com/skin/frontend/stadium/default/images/stadiumloader.gif ",
" Jordan 10 Retro (PS) | $100.00 | http://www.stadiumgoods.com/jordan-10-retro-ps-white-blck-lt-stl-gry-vrsty-rd-310807-103 | [0] | http://www.stadiumgoods.com/skin/frontend/stadium/default/images/stadiumloader.gif ",
" Air Jordan 2 Retro | $150.00 | http://www.stadiumgoods.com/air-jordan-2-black-varsity-red-834274-001 | [0] | http://www.stadiumgoods.com/skin/frontend/stadium/default/images/stadiumloader.gif ",
" Jordan 11 Retro Low BP | $109.00 | http://www.stadiumgoods.com/jordan-11-retro-low-bp-black-true-red-black-768875-003 | [0] | http://www.stadiumgoods.com/skin/frontend/stadium/default/images/stadiumloader.gif ",
" Air Jordan 11 Retro Low BG | $190.00 | http://www.stadiumgoods.com/air-jordan-11-retro-low-bg-midnight-navy-white-gm-lt-brwn-528896-405 | [0] | http://www.stadiumgoods.com/skin/frontend/stadium/default/images/stadiumloader.gif ",
" Air Jordan 11 Retro Low | $395.00 | http://www.stadiumgoods.com/air-jordan-11-retro-low-white-black-dark-concord-528895-153 | [0] | http://www.stadiumgoods.com/skin/frontend/stadium/default/images/stadiumloader.gif ",
" Air Jordan 11 Retro | $550.00 | http://www.stadiumgoods.com/air-jordan-11-retro-white-black-dark-concord-378037-107 | [0] | http://www.stadiumgoods.com/skin/frontend/stadium/default/images/stadiumloader.gif ",
" Jordan 12 Retro GP | $109.00 | http://www.stadiumgoods.com/jordan-12-retro-gp-white-metallic-gold-unvrsty-510816-127 | [0] | http://www.stadiumgoods.com/skin/frontend/stadium/default/images/stadiumloader.gif ",
" Air Jordan 12 Retro | $250.00 | http://www.stadiumgoods.com/air-jordan-12-retro-wlf-gry-unvrsty-bl-wht-mdnght-130690-007 | [0] | http://www.stadiumgoods.com/skin/frontend/stadium/default/images/stadiumloader.gif ",
" Air Jordan 11 Retro Low | $395.00 | http://www.stadiumgoods.com/air-jordan-11-retro-low-white-varsity-red-black-528895-101 | [0] | http://www.stadiumgoods.com/skin/frontend/stadium/default/images/stadiumloader.gif ",
" Air Jordan 12 Retro | $425.00 | http://www.stadiumgoods.com/air-jordan-12-retro-black-white-universtiy-blue-136001-014 | [0] | http://www.stadiumgoods.com/skin/frontend/stadium/default/images/stadiumloader.gif ",
" Air Jordan 12 Retro | $400.00 | http://www.stadiumgoods.com/air-jordan-12-retro-white-black-taxi-varsity-red-130690-125 | [0] | http://www.stadiumgoods.com/skin/frontend/stadium/default/images/stadiumloader.gif ",
" Air Jordan 13 Retro | $2,000.00 | http://www.stadiumgoods.com/air-jordan-13-retro-white-clover-414571-125 | [0] | http://www.stadiumgoods.com/skin/frontend/stadium/default/images/stadiumloader.gif ",
" Girls Jordan 13 Retro (PS) | $200.00 | http://www.stadiumgoods.com/girls-jordan-13-retro-ps-cool-grey-fusion-pink-white-439669-029 | [0] | http://www.stadiumgoods.com/skin/frontend/stadium/default/images/stadiumloader.gif ",
" Girls Air Jordan 13 (GS) | $325.00 | http://www.stadiumgoods.com/girls-air-jordan-13-gs-cool-grey-fusion-pink-white-439358-029 | [0] | http://www.stadiumgoods.com/skin/frontend/stadium/default/images/stadiumloader.gif ",
" Air Jordan 14 Retro BG | $150.00 | http://www.stadiumgoods.com/air-jordan-14-retro-bg-white-blck-vrsty-rd-mtllc-slvr-654963-102 | [0] | http://www.stadiumgoods.com/skin/frontend/stadium/default/images/stadiumloader.gif ",
" Air Jordan 23 Premier | $1,500.00 | http://www.stadiumgoods.com/air-jordan-23-premier-white-titanium-university-blue-318474-151 | [0] | http://www.stadiumgoods.com/skin/frontend/stadium/default/images/stadiumloader.gif ",
" Air Jordan 17 Low | $250.00 | http://www.stadiumgoods.com/air-jordan-17-low-wht-univ-blue-black-chrome-303891-141 | [0] | http://www.stadiumgoods.com/skin/frontend/stadium/default/images/stadiumloader.gif ",
" Air Jordan 20 | $180.00 | http://www.stadiumgoods.com/air-jordan-20-multi-multi-340252-001 | [0] | http://www.stadiumgoods.com/skin/frontend/stadium/default/images/stadiumloader.gif ",
" Air Jordan Future Premium | $395.00 | http://www.stadiumgoods.com/air-jordan-future-premium-black-black-infrared-23-652141-023 | [0] | http://www.stadiumgoods.com/skin/frontend/stadium/default/images/stadiumloader.gif ",
" Jordan Son of | $109.00 | http://www.stadiumgoods.com/jordan-son-of-black-gym-red-cl-grey-grn-pls-512245-006 | [0] | http://www.stadiumgoods.com/skin/frontend/stadium/default/images/stadiumloader.gif ",
" Jordan Spizike | $195.00 | http://www.stadiumgoods.com/jordan-spizike-white-fire-red-black-315371-165 | [0] | http://www.stadiumgoods.com/skin/frontend/stadium/default/images/stadiumloader.gif ",
" Jordan Horizon Premium | $125.00 | http://www.stadiumgoods.com/jordan-horizon-premium-black-purple-steel-lght-chrcl-822333-022 | [0] | http://www.stadiumgoods.com/skin/frontend/stadium/default/images/stadiumloader.gif ",
" Jordan 6 Rings | $200.00 | http://www.stadiumgoods.com/jordan-6-rings-white-dark-concord-black-322992-151 | [0] | http://www.stadiumgoods.com/skin/frontend/stadium/default/images/stadiumloader.gif ",
" Zoom Huarache TR Mid WM | $300.00 | http://www.stadiumgoods.com/zoom-huarache-tr-mid-wm-black-volt-cool-grey-455614-005 | [0] | http://www.stadiumgoods.com/skin/frontend/stadium/default/images/stadiumloader.gif ",
" Barkley Posite Max | $150.00 | http://www.stadiumgoods.com/barkley-posite-max-court-purple-team-orange-555097-581 | [0] | http://www.stadiumgoods.com/skin/frontend/stadium/default/images/stadiumloader.gif ",
" Zoom Stefan Janoski | $109.00 | http://www.stadiumgoods.com/zoom-stefan-janoski-multi-color-white-sandtrap-707683-917 | [0] | http://www.stadiumgoods.com/skin/frontend/stadium/default/images/stadiumloader.gif ",
" KD 7 | $200.00 | http://www.stadiumgoods.com/kd-7-black-action-red-medium-mint-653996-063 | [0] | http://www.stadiumgoods.com/skin/frontend/stadium/default/images/stadiumloader.gif ",
" Zoom Stefan Janoski CNVS | $65.00 | http://www.stadiumgoods.com/zoom-stefan-janoski-cnvs-chllng-rd-white-lcd-grn-tr-yll-615957-613 | [0] | http://www.stadiumgoods.com/skin/frontend/stadium/default/images/stadiumloader.gif ",
" KD 7 | $140.00 | http://www.stadiumgoods.com/kd-7-nystc-grn-mystc-grn-lght-bn-gm-653996-330 | [0] | http://www.stadiumgoods.com/skin/frontend/stadium/default/images/stadiumloader.gif ",
" KD V Premium | $900.00 | http://www.stadiumgoods.com/kd-v-premium-obsidian-ttl-orange-rflct-slvr-598601-400 | [0] | http://www.stadiumgoods.com/skin/frontend/stadium/default/images/stadiumloader.gif ",
" Zoom KD 4 | $1,250.00 | http://www.stadiumgoods.com/zoom-kd-4-lush-green-volt-black-tm-orng-473679-303 | [0] | http://www.stadiumgoods.com/skin/frontend/stadium/default/images/stadiumloader.gif ",
" KD 6 (GS) | $80.00 | http://www.stadiumgoods.com/kd-6-gs-lsp-prp-tm-orng-sprt-trq-unvr-599477-500 | [0] | http://www.stadiumgoods.com/skin/frontend/stadium/default/images/stadiumloader.gif ",
